2025-12-10 19:51:56 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
2025-12-10 19:51:56 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:312 | p_deep_camera, target_func 是: <function main at 0x0000019DC010DF80> 
2025-12-10 19:51:56 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:313 | p_deep_camera, target_func 参数个数: 1 
2025-12-10 19:51:56 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:314 | p_deep_camera, args 内容: (<multiprocessing.queues.Queue object at 0x0000019DC01EA290>,) 
2025-12-10 19:51:56 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:315 | p_deep_camera, args 长度: 1 
2025-12-10 19:51:56 | INFO  | p_deep_camera | main_deep_camera:main:1058 | ------------------------------deep_camera_start------------------------------ 
2025-12-10 19:51:56 | INFO  | p_deep_camera | main_deep_camera:main:1059 | Service.main_deep_camera | main_deep_camera.py|40308|35588 
2025-12-10 19:51:56 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:75 | gui配置文件读取成功。 
2025-12-10 19:51:56 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:84 | 相机配置文件读取成功。 
2025-12-10 19:51:56 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:93 | 监控配置文件读取成功。 
2025-12-10 19:51:56 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:100 | UFC_UGC_ZOS_config配置文件读取成功。 
2025-12-10 19:51:56 | INFO  | p_deep_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light 
2025-12-10 19:51:56 | INFO  | p_deep_camera | main_deep_camera:load_global_setting:923 | 相机连接开始时间：2025-12-10 19:51:56.931 
2025-12-10 19:51:56 | WARNING  | p_deep_camera | MyQThread:run:22 | main_deep_camera_read_queue_data_thread thread 44104 has been started！ 
2025-12-10 20:27:22 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
2025-12-10 20:27:22 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:312 | p_deep_camera, target_func 是: <function main at 0x00000272F2729F80> 
2025-12-10 20:27:22 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:313 | p_deep_camera, target_func 参数个数: 1 
2025-12-10 20:27:22 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:314 | p_deep_camera, args 内容: (<multiprocessing.queues.Queue object at 0x00000272F280DC90>,) 
2025-12-10 20:27:22 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:315 | p_deep_camera, args 长度: 1 
2025-12-10 20:27:22 | INFO  | p_deep_camera | main_deep_camera:main:1058 | ------------------------------deep_camera_start------------------------------ 
2025-12-10 20:27:22 | INFO  | p_deep_camera | main_deep_camera:main:1059 | Service.main_deep_camera | main_deep_camera.py|43912|43556 
2025-12-10 20:27:22 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:75 | gui配置文件读取成功。 
2025-12-10 20:27:22 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:84 | 相机配置文件读取成功。 
2025-12-10 20:27:22 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:93 | 监控配置文件读取成功。 
2025-12-10 20:27:22 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:100 | UFC_UGC_ZOS_config配置文件读取成功。 
2025-12-10 20:27:22 | INFO  | p_deep_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light 
2025-12-10 20:27:22 | INFO  | p_deep_camera | main_deep_camera:load_global_setting:923 | 相机连接开始时间：2025-12-10 20:27:22.636 
2025-12-10 20:27:22 | WARNING  | p_deep_camera | MyQThread:run:22 | main_deep_camera_read_queue_data_thread thread 40408 has been started！ 
2025-12-10 20:35:25 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
2025-12-10 20:35:25 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:312 | p_deep_camera, target_func 是: <function main at 0x0000028136B99F80> 
2025-12-10 20:35:25 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:313 | p_deep_camera, target_func 参数个数: 1 
2025-12-10 20:35:25 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:314 | p_deep_camera, args 内容: (<multiprocessing.queues.Queue object at 0x0000028136C79D90>,) 
2025-12-10 20:35:25 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:315 | p_deep_camera, args 长度: 1 
2025-12-10 20:35:25 | INFO  | p_deep_camera | main_deep_camera:main:1058 | ------------------------------deep_camera_start------------------------------ 
2025-12-10 20:35:25 | INFO  | p_deep_camera | main_deep_camera:main:1059 | Service.main_deep_camera | main_deep_camera.py|45320|48812 
2025-12-10 20:35:25 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:75 | gui配置文件读取成功。 
2025-12-10 20:35:25 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:84 | 相机配置文件读取成功。 
2025-12-10 20:35:25 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:93 | 监控配置文件读取成功。 
2025-12-10 20:35:25 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:100 | UFC_UGC_ZOS_config配置文件读取成功。 
2025-12-10 20:35:25 | INFO  | p_deep_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light 
2025-12-10 20:35:25 | INFO  | p_deep_camera | main_deep_camera:load_global_setting:923 | 相机连接开始时间：2025-12-10 20:35:25.071 
2025-12-10 20:35:25 | WARNING  | p_deep_camera | MyQThread:run:22 | main_deep_camera_read_queue_data_thread thread 48112 has been started！ 
2025-12-10 20:38:14 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
2025-12-10 20:38:14 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:312 | p_deep_camera, target_func 是: <function main at 0x0000023C61FCB600> 
2025-12-10 20:38:14 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:313 | p_deep_camera, target_func 参数个数: 1 
2025-12-10 20:38:14 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:314 | p_deep_camera, args 内容: (<multiprocessing.queues.Queue object at 0x0000023C605EAD90>,) 
2025-12-10 20:38:14 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:315 | p_deep_camera, args 长度: 1 
2025-12-10 20:38:14 | INFO  | p_deep_camera | main_deep_camera:main:1058 | ------------------------------deep_camera_start------------------------------ 
2025-12-10 20:38:14 | INFO  | p_deep_camera | main_deep_camera:main:1059 | Service.main_deep_camera | main_deep_camera.py|47984|49468 
2025-12-10 20:38:14 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:75 | gui配置文件读取成功。 
2025-12-10 20:38:14 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:84 | 相机配置文件读取成功。 
2025-12-10 20:38:14 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:93 | 监控配置文件读取成功。 
2025-12-10 20:38:14 | ERROR  | p_deep_camera | global_load:load_global_setting_without_Qt:102 | UFC_UGC_ZOS_config配置文件读取失败。 
2025-12-10 20:38:14 | INFO  | p_deep_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light 
2025-12-10 20:38:14 | INFO  | p_deep_camera | main_deep_camera:load_global_setting:923 | 相机连接开始时间：2025-12-10 20:38:14.447 
2025-12-10 20:38:14 | WARNING  | p_deep_camera | MyQThread:run:22 | main_deep_camera_read_queue_data_thread thread 50008 has been started！ 
2025-12-10 20:39:36 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
2025-12-10 20:39:36 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:312 | p_deep_camera, target_func 是: <function main at 0x00000191B3937600> 
2025-12-10 20:39:36 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:313 | p_deep_camera, target_func 参数个数: 1 
2025-12-10 20:39:36 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:314 | p_deep_camera, args 内容: (<multiprocessing.queues.Queue object at 0x00000191B394F3D0>,) 
2025-12-10 20:39:36 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:315 | p_deep_camera, args 长度: 1 
2025-12-10 20:39:36 | INFO  | p_deep_camera | main_deep_camera:main:1058 | ------------------------------deep_camera_start------------------------------ 
2025-12-10 20:39:36 | INFO  | p_deep_camera | main_deep_camera:main:1059 | Service.main_deep_camera | main_deep_camera.py|50680|50632 
2025-12-10 20:39:36 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:69 | gui配置文件读取成功。 
2025-12-10 20:39:36 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:78 | 相机配置文件读取成功。 
2025-12-10 20:39:36 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:87 | 监控配置文件读取成功。 
2025-12-10 20:39:36 | INFO  | p_deep_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light 
2025-12-10 20:39:36 | INFO  | p_deep_camera | main_deep_camera:load_global_setting:923 | 相机连接开始时间：2025-12-10 20:39:36.561 
2025-12-10 20:39:36 | WARNING  | p_deep_camera | MyQThread:run:22 | main_deep_camera_read_queue_data_thread thread 49040 has been started！ 
2025-12-10 20:44:59 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
2025-12-10 20:44:59 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:312 | p_deep_camera, target_func 是: <function main at 0x00000295D5B3B600> 
2025-12-10 20:44:59 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:313 | p_deep_camera, target_func 参数个数: 1 
2025-12-10 20:44:59 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:314 | p_deep_camera, args 内容: (<multiprocessing.queues.Queue object at 0x00000295D5B70690>,) 
2025-12-10 20:44:59 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:315 | p_deep_camera, args 长度: 1 
2025-12-10 20:44:59 | INFO  | p_deep_camera | main_deep_camera:main:1058 | ------------------------------deep_camera_start------------------------------ 
2025-12-10 20:44:59 | INFO  | p_deep_camera | main_deep_camera:main:1059 | Service.main_deep_camera | main_deep_camera.py|47156|49908 
2025-12-10 20:44:59 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:69 | gui配置文件读取成功。 
2025-12-10 20:44:59 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:78 | 相机配置文件读取成功。 
2025-12-10 20:44:59 | INFO  | p_deep_camera | global_load:load_global_setting_without_Qt:87 | 监控配置文件读取成功。 
2025-12-10 20:44:59 | INFO  | p_deep_camera | ThemeManager:_init_themes:66 | ThemeManger:instance._current_theme:  light 
2025-12-10 20:44:59 | INFO  | p_deep_camera | main_deep_camera:load_global_setting:923 | 相机连接开始时间：2025-12-10 20:44:59.572 
2025-12-10 20:44:59 | WARNING  | p_deep_camera | MyQThread:run:22 | main_deep_camera_read_queue_data_thread thread 48664 has been started！ 
2025-12-10 20:45:34 | INFO  | p_deep_camera | ProcessMonitor:monitored_target:311 | p_deep_camera 开始执行任务 
