2025-12-10 19:51:56 | INFO | p_response_comm | ProcessMonitor:monitored_target:311 | p_response_comm 开始执行任务 
2025-12-10 19:51:56 | INFO | p_response_comm | ProcessMonitor:monitored_target:312 | p_response_comm, target_func 是: <function main at 0x000001524FCA0B80> 
2025-12-10 19:51:56 | INFO | p_response_comm | ProcessMonitor:monitored_target:313 | p_response_comm, target_func 参数个数: 0 
2025-12-10 19:51:56 | INFO | p_response_comm | ProcessMonitor:monitored_target:314 | p_response_comm, args 内容: () 
2025-12-10 19:51:56 | INFO | p_response_comm | ProcessMonitor:monitored_target:315 | p_response_comm, args 长度: 0 
2025-12-10 19:51:56 | INFO | p_response_comm | main_response_Modbus:main:1343 | ------------------------------response_start------------------------------ 
2025-12-10 19:51:56 | INFO | p_response_comm | main_response_Modbus:is_port_occupied:58 | receive串口COM3连接--当前可用端口:['COM5', 'COM3'] 
2025-12-10 19:51:56 | INFO | p_response_comm | main_response_Modbus:serial_init:90 | receive串口COM3连接成功 
2025-12-10 19:51:56 | INFO | p_response_comm | main_response_Modbus:receive:267 | receive串口COM3开始接收数据 
2025-12-10 19:51:56 | INFO | p_response_comm | ProcessMonitor:monitored_target:318 | p_response_comm 任务执行完成 
2025-12-10 19:51:56 | INFO | p_response_comm | ProcessMonitor:monitored_target:364 | p_response_comm 进程结束 
2025-12-10 20:27:22 | INFO | p_response_comm | ProcessMonitor:monitored_target:311 | p_response_comm 开始执行任务 
2025-12-10 20:27:22 | INFO | p_response_comm | ProcessMonitor:monitored_target:312 | p_response_comm, target_func 是: <function main at 0x0000025E0FFA0B80> 
2025-12-10 20:27:22 | INFO | p_response_comm | ProcessMonitor:monitored_target:313 | p_response_comm, target_func 参数个数: 0 
2025-12-10 20:27:22 | INFO | p_response_comm | ProcessMonitor:monitored_target:314 | p_response_comm, args 内容: () 
2025-12-10 20:27:22 | INFO | p_response_comm | ProcessMonitor:monitored_target:315 | p_response_comm, args 长度: 0 
2025-12-10 20:27:22 | INFO | p_response_comm | main_response_Modbus:main:1343 | ------------------------------response_start------------------------------ 
2025-12-10 20:27:22 | INFO | p_response_comm | main_response_Modbus:is_port_occupied:58 | receive串口COM3连接--当前可用端口:['COM5', 'COM3'] 
2025-12-10 20:27:22 | INFO | p_response_comm | main_response_Modbus:serial_init:90 | receive串口COM3连接成功 
2025-12-10 20:27:22 | INFO | p_response_comm | main_response_Modbus:receive:267 | receive串口COM3开始接收数据 
2025-12-10 20:27:22 | INFO | p_response_comm | ProcessMonitor:monitored_target:318 | p_response_comm 任务执行完成 
2025-12-10 20:27:22 | INFO | p_response_comm | ProcessMonitor:monitored_target:364 | p_response_comm 进程结束 
2025-12-10 20:35:24 | INFO | p_response_comm | ProcessMonitor:monitored_target:311 | p_response_comm 开始执行任务 
2025-12-10 20:35:24 | INFO | p_response_comm | ProcessMonitor:monitored_target:312 | p_response_comm, target_func 是: <function main at 0x000001AFA9810B80> 
2025-12-10 20:35:24 | INFO | p_response_comm | ProcessMonitor:monitored_target:313 | p_response_comm, target_func 参数个数: 0 
2025-12-10 20:35:24 | INFO | p_response_comm | ProcessMonitor:monitored_target:314 | p_response_comm, args 内容: () 
2025-12-10 20:35:24 | INFO | p_response_comm | ProcessMonitor:monitored_target:315 | p_response_comm, args 长度: 0 
2025-12-10 20:35:24 | INFO | p_response_comm | main_response_Modbus:main:1343 | ------------------------------response_start------------------------------ 
2025-12-10 20:35:24 | INFO | p_response_comm | main_response_Modbus:is_port_occupied:58 | receive串口COM3连接--当前可用端口:['COM5', 'COM3'] 
2025-12-10 20:35:24 | INFO | p_response_comm | main_response_Modbus:serial_init:90 | receive串口COM3连接成功 
2025-12-10 20:35:24 | INFO | p_response_comm | main_response_Modbus:receive:267 | receive串口COM3开始接收数据 
2025-12-10 20:35:24 | INFO | p_response_comm | ProcessMonitor:monitored_target:318 | p_response_comm 任务执行完成 
2025-12-10 20:35:24 | INFO | p_response_comm | ProcessMonitor:monitored_target:364 | p_response_comm 进程结束 
2025-12-10 20:38:14 | INFO | p_response_comm | ProcessMonitor:monitored_target:311 | p_response_comm 开始执行任务 
2025-12-10 20:38:14 | INFO | p_response_comm | ProcessMonitor:monitored_target:312 | p_response_comm, target_func 是: <function main at 0x0000023455684B80> 
2025-12-10 20:38:14 | INFO | p_response_comm | ProcessMonitor:monitored_target:313 | p_response_comm, target_func 参数个数: 0 
2025-12-10 20:38:14 | INFO | p_response_comm | ProcessMonitor:monitored_target:314 | p_response_comm, args 内容: () 
2025-12-10 20:38:14 | INFO | p_response_comm | ProcessMonitor:monitored_target:315 | p_response_comm, args 长度: 0 
2025-12-10 20:38:14 | INFO | p_response_comm | main_response_Modbus:main:1343 | ------------------------------response_start------------------------------ 
